"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",805.845713740483,0.477924275874357,0.245273439721282,0,1,1
"ENSG00000000419",510.230028939884,0.455730604880364,0.252513186211568,0,1,1
"ENSG00000000457",85.2392998763387,-1.33979460833672,0.515941436365896,-0.658591429930707,0.510158167641061,1
"ENSG00000000460",335.895737091785,-0.325801263337223,0.309007133531244,0,1,1
"ENSG00000000971",360.959653573945,-1.64557996864352,0.406232267054371,-1.58918929144818,0.112017663376421,0.539499503348411
"ENSG00000001036",1425.21314873306,0.495818654855496,0.227639238065028,0,1,1
"ENSG00000001084",2559.86958355972,-4.28257117406234,0.258097130818241,-12.7183559292413,4.67595137137355e-37,6.37137340611074e-34
"ENSG00000001167",239.977677773307,-1.82074549208142,0.339224701165884,-2.41947443467588,0.0155429532508059,0.11609996738416
"ENSG00000001460",87.9699146407841,-1.87795019558629,0.490575302196597,-1.78963390870919,0.0735127835993682,0.395241033727941
"ENSG00000001461",222.584176871974,-0.952163663369331,0.334228906979577,0,1,1
"ENSG00000001497",1539.14480759034,0.81407541233288,0.227406021198537,0,1,1
"ENSG00000001617",22.7154560802397,-0.691306910487158,0.790527116426141,0,1,1
"ENSG00000001629",930.81180962678,-1.01791156527383,0.2313814952344,-0.0774113991081299,0.938296272818481,1
"ENSG00000001630",1372.8676337551,-0.370917277671653,0.224571524056761,0,1,1
"ENSG00000001631",343.336057927045,-1.71528556843649,0.305961775701122,-2.33782656933986,0.019396246728285,0.138613649586621
"ENSG00000002016",117.052248560411,-1.29160964608887,0.4080544006889,-0.714634238955787,0.474835082183004,1
"ENSG00000002079",1.85426164558022,-1.7574925022714,2.79333844944917,-0.271178203422064,0.786253976243669,NA
"ENSG00000002330",840.847446542101,1.24934546836089,0.324084527936071,0.769384055292139,0.441665351259154,1
"ENSG00000002549",844.606811807005,1.33170606471609,0.261148437355735,1.27018207757546,0.204019780217789,0.82983269311967
"ENSG00000002586",2355.56830706827,1.18921736489171,0.281415316067955,0.672377635785875,0.501343316575267,1
"ENSG00000002587",5.40618660955102,-3.60477692462905,2.04292878336672,-1.2750209140117,0.202301839606766,0.824280433443864
"ENSG00000002746",270.069017314042,-0.767592264471436,0.297697230400419,0,1,1
"ENSG00000002822",161.127137560701,-0.298865286303568,0.352349024814756,0,1,1
"ENSG00000002834",4358.07169528294,-0.965752318758512,0.205545471422525,0,1,1
"ENSG00000002919",159.587597157585,-0.68479530242382,0.387834610897325,0,1,1
"ENSG00000003056",2194.61560108685,0.400479866711642,0.21495294645985,0,1,1
"ENSG00000003137",403.449040301115,0.39945692972487,0.26655398139948,0,1,1
"ENSG00000003147",19.531223310522,-0.525232406196179,0.840839968014959,0,1,1
"ENSG00000003249",379.932046141952,0.0360862205567776,0.289234289604268,0,1,1
"ENSG00000003393",386.493882820408,-0.457501248932444,0.291789151549971,0,1,1
"ENSG00000003400",51.2373485712339,-0.942414141820587,0.584712817441837,0,1,1
"ENSG00000003402",634.274148722321,-0.286811095191333,0.247389075743503,0,1,1
"ENSG00000003436",763.112972325156,-2.1999894033722,0.385826974288444,-3.11017498345019,0.0018697654153543,0.0211721151706774
"ENSG00000003509",192.190325746504,-0.324081689925559,0.329346496880848,0,1,1
"ENSG00000003756",365.455947605542,-2.66622005971849,0.344697952903428,-4.83385539624979,1.33913876244284e-06,3.80804485299182e-05
"ENSG00000003987",20.6659187971993,1.18038611967752,0.844323179248719,0.21364582201572,0.830823263491338,1
"ENSG00000003989",630.686095661418,-2.69890984194856,0.273049787382143,-6.22197826351307,4.90925063190762e-10,2.74901222884663e-08
"ENSG00000004059",1648.14343295864,0.966190603554474,0.322491464682137,0,1,1
"ENSG00000004139",116.321018029129,0.386319066189276,0.395934440184372,0,1,1
"ENSG00000004142",2381.76498538223,0.980456671020981,0.233266713911045,0,1,1
"ENSG00000004399",1063.24798097222,-0.693964139451376,0.23213435694849,0,1,1
"ENSG00000004455",2909.10746306231,1.27103294114899,0.21197367654127,1.27861603181764,0.201032301624985,0.820948842125405
"ENSG00000004468",197.005939064935,0.221271815115495,0.355038178925396,0,1,1
"ENSG00000004478",6725.66747820427,1.94154697484231,0.279560245814866,3.36795731488173,0.00075727319543737,0.00990573921487715
"ENSG00000004487",1010.16945912991,-0.67775123506106,0.236632779391025,0,1,1
"ENSG00000004534",314.864983117953,-0.767779314734083,0.306762022293911,0,1,1
"ENSG00000004660",196.873927761966,-1.26573369072194,0.332035765497709,-0.800316466883068,0.423527464812773,1
"ENSG00000004700",1668.7726879443,0.352633207229468,0.219360862239445,0,1,1
"ENSG00000004766",167.503226884377,-0.236434380024738,0.340560835480862,0,1,1
"ENSG00000004776",14.5610964633782,3.11435607602557,1.0138716150314,2.08542782407424,0.0370304833813008,0.233868456457184
"ENSG00000004777",186.957164268444,0.707808400319609,0.440618598743384,0,1,1
"ENSG00000004779",2322.48909943582,1.69745814397119,0.266731360205256,2.6148336792287,0.00892709144433587,0.0751631679744263
"ENSG00000004799",1497.01140560227,-6.17983418095377,0.414375650614871,-12.5003343542693,7.4337969458821e-36,8.10333425747454e-33
"ENSG00000004838",20.1399773625719,2.62667342693529,0.855695406083621,1.90099586297923,0.0573025544947145,0.326806441765984
"ENSG00000004848",29.5392856395886,-1.95651086766497,0.766620567875471,-1.24769789351692,0.212141713018358,0.851849005295474
"ENSG00000004864",496.952454026626,-3.11001365277699,0.290789925581756,-7.25614427169607,3.98280274392921e-13,3.59794517491638e-11
"ENSG00000004866",156.867462116783,-1.24820427596077,0.367338453633792,-0.675682802890577,0.499242056787305,1
"ENSG00000004897",1196.33969292746,-1.53101622952291,0.288614897432247,-1.83987810139832,0.0657861357010686,0.362911303929883
"ENSG00000004961",894.196154399884,1.26951377739449,0.233221186432914,1.15561446846516,0.247838887262503,0.947493763189211
